28, 100, 0.0058, 0.0061
28, 200, 0.0066, 0.0070
28, 300, 0.0055, 0.0058
28, 400, 0.0053, 0.0052
28, 500, 0.0046, 0.0049
28, 600, 0.0039, 0.0050
28, 700, 0.0037, 0.0050
28, 800, 0.0039, 0.0047
28, 900, 0.0047, 0.0049
28, 1000, 0.0035, 0.0041
28, 1100, 0.0051, 0.0046
29, 100, 0.0036, 0.0043
29, 200, 0.0031, 0.0039
29, 300, 0.0035, 0.0043
29, 400, 0.0033, 0.0037
29, 500, 0.0033, 0.0036
29, 600, 0.0031, 0.0040
29, 700, 0.0031, 0.0035
29, 800, 0.0031, 0.0039
29, 900, 0.0030, 0.0039
29, 1000, 0.0030, 0.0038
29, 1100, 0.0032, 0.0037
30, 100, 0.0028, 0.0038
30, 200, 0.0025, 0.0034
30, 300, 0.0026, 0.0035
30, 400, 0.0026, 0.0037
30, 500, 0.0026, 0.0037
30, 600, 0.0027, 0.0032
30, 700, 0.0026, 0.0034
30, 800, 0.0026, 0.0032
30, 900, 0.0028, 0.0033
30, 1000, 0.0026, 0.0034
30, 1100, 0.0026, 0.0033
